 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  y   
  0.3853  0.3125  0.2579  0.2198  0.1711  0.1264  0.0856  0.0495  0.0176 -0.0106
 -0.0356 -0.0583 -0.0790 -0.0983 -0.1166 -0.1567 -0.1965 -0.2437 -0.3000 -0.3641
 -0.4326 -0.5015 -0.5683 -0.6321 -0.6929 -0.7509 -0.8065 -0.8599 -0.9117 -0.9624
 -1.0130
  0.4464  0.3852  0.3293  0.2782  0.2284  0.1804  0.1356  0.1069  0.0684  0.0338
  0.0026 -0.0255 -0.0509 -0.0742 -0.0958 -0.1438 -0.1857 -0.2331 -0.2884 -0.3510
 -0.4188 -0.4892 -0.5596 -0.6281 -0.6937 -0.7562 -0.8160 -0.8732 -0.9283 -0.9817
 -1.0343
  0.4973  0.4549  0.3958  0.3219  0.2738  0.2245  0.2027  0.1577  0.1155  0.0842
  0.0470  0.0130 -0.0180 -0.0463 -0.0727 -0.1311 -0.1759 -0.2232 -0.2776
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  y   
  0.1438  0.0682 -0.0658 -0.1525 -0.1546 -0.1456 -0.2004 -0.2870 -0.3348 -0.3186
 -0.2782 -0.2277 -0.1861 -0.1584 -0.1330 -0.0950
  0.0718  0.0388 -0.0311 -0.0874 -0.1144 -0.1395 -0.1882 -0.2451 -0.2818 -0.2876
 -0.2756 -0.2503 -0.2204 -0.1935 -0.1696 -0.1352 -0.1422 -0.1771 -0.2173
  0.0176  0.0111 -0.0158 -0.0488 -0.0860 -0.1275 -0.1702 -0.2090 -0.2396 -0.2596
 -0.2671 -0.2612 -0.2433 -0.2203 -0.1991 -0.1689 -0.1747 -0.2079 -0.2516 -0.3012
 -0.3559
 -0.0188 -0.0149 -0.0199 -0.0367 -0.0694 -0.1096 -0.1464 -0.1787 -0.2082 -0.2346
 -0.2527 -0.2604 -0.2548 -0.2388 -0.2215 -0.1961 -0.2015 -0.2333 -0.2786 -0.3285
 -0.3795 -0.4305 -0.4808
 -0.0374 -0.0392 -0.0434 -0.0511 -0.0646 -0.0858 -0.1168 -0.1542 -0.1876 -0.2126
 -0.2324 -0.2479 -0.2549 -0.2490 -0.2368 -0.2168 -0.2226 -0.2533 -0.2984 -0.3483
 -0.3993 -0.4502 -0.5002 -0.5485 -0.5970
 -0.0298 -0.0419 -0.0524 -0.0615 -0.0712 -0.0836 -0.1003 -0.1219 -0.1489 -0.1786
 -0.2039 -0.2237 -0.2404 -0.2476 -0.2434 -0.2303 -0.2374 -0.2675 -0.3131 -0.3639
 -0.4157 -0.4673 -0.5179 -0.5675 -0.6160 -0.6638
  0.0037 -0.0208 -0.0412 -0.0569 -0.0693 -0.0804 -0.0925 -0.1069 -0.1239 -0.1433
 -0.1647 -0.1861 -0.2060 -0.2244 -0.2341 -0.2360 -0.2455 -0.2753 -0.3220 -0.3751
 -0.4287 -0.4818 -0.5338 -0.5847 -0.6341 -0.6823 -0.7299 -0.7801 -0.8346 -0.8909
  0.0599  0.0227 -0.0090 -0.0342 -0.0533 -0.0682 -0.0810 -0.0934 -0.1070 -0.1218
 -0.1374 -0.1535 -0.1699 -0.1887 -0.2051 -0.2294 -0.2465 -0.2767 -0.3242 -0.3804
 -0.4374 -0.4931 -0.5474 -0.6002 -0.6513 -0.7007 -0.7493 -0.7972 -0.8480 -0.9040
 -0.9625
  0.1324  0.0851  0.0427  0.0070 -0.0212 -0.0432 -0.0604 -0.0749 -0.0885 -0.1025
 -0.1166 -0.1307 -0.1447 -0.1593 -0.1757 -0.2090 -0.2385 -0.2722 -0.3200 -0.3787
 -0.4401 -0.4999 -0.5574 -0.6129 -0.6665 -0.7182 -0.7683 -0.8173 -0.8664 -0.9178
 -0.9755
  0.2130  0.1591  0.1091  0.0645  0.0270 -0.0035 -0.0278 -0.0475 -0.0645 -0.0801
 -0.0952 -0.1100 -0.1243 -0.1381 -0.1532 -0.1877 -0.2235 -0.2628 -0.3116 -0.3717
 -0.4368 -0.5014 -0.5634 -0.6228 -0.6798 -0.7344 -0.7871 -0.8382 -0.8881 -0.9384
 -0.9914
  0.2956  0.2392  0.1850  0.1346  0.0894  0.0507  0.0182 -0.0086 -0.0312 -0.0510
 -0.0691 -0.0863 -0.1026 -0.1182 -0.1336 -0.1697 -0.2073 -0.2501 -0.3000 -0.3597
 -0.4264 -0.4947 -0.5616 -0.6257 -0.6869 -0.7453 -0.8014 -0.8555 -0.9078 -0.9591
 -1.0101
  0.3789  0.3212  0.2649  0.2117  0.1621  0.1167  0.0767  0.0422  0.0126 -0.0132
 -0.0362 -0.0573 -0.0770 -0.0956 -0.1133 -0.1541 -0.1929 -0.2372 -0.2882 -0.3471
 -0.4130 -0.4828 -0.5531 -0.6218 -0.6877 -0.7506 -0.8109 -0.8686 -0.9242 -0.9782
 -1.0312
  0.4630  0.4051  0.3454  0.2916  0.2396  0.1905  0.1450  0.1037  0.0669  0.0343
  0.0052 -0.0213 -0.0457 -0.0684 -0.0923 -0.1409 -0.1803 -0.2241 -0.2762
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  y   
 -0.0775 -0.0997 -0.1323 -0.1692 -0.2064 -0.2421 -0.2721 -0.2930 -0.3018 -0.2966
 -0.2785 -0.2508 -0.2198 -0.1895 -0.1630 -0.1171
  0.0116 -0.0093 -0.0446 -0.0886 -0.1365 -0.1835 -0.2254 -0.2588 -0.2813 -0.2912
 -0.2875 -0.2713 -0.2466 -0.2201 -0.1965 -0.1567 -0.1494 -0.1749 -0.2188
  0.0511  0.0397  0.0099 -0.0326 -0.0817 -0.1323 -0.1802 -0.2216 -0.2541 -0.2759
 -0.2850 -0.2808 -0.2648 -0.2434 -0.2231 -0.1893 -0.1836 -0.2064 -0.2483 -0.2975
 -0.3493
  0.0410  0.0473  0.0312 -0.0012 -0.0420 -0.0885 -0.1365 -0.1814 -0.2202 -0.2507
 -0.2710 -0.2793 -0.2744 -0.2594 -0.2428 -0.2149 -0.2113 -0.2324 -0.2726 -0.3211
 -0.3716 -0.4228 -0.4739
  0.0092  0.0249  0.0217  0.0023 -0.0288 -0.0669 -0.1086 -0.1502 -0.1880 -0.2213
 -0.2479 -0.2662 -0.2735 -0.2677 -0.2556 -0.2335 -0.2325 -0.2529 -0.2917 -0.3399
 -0.3908 -0.4419 -0.4923 -0.5412 -0.5904
 -0.0143 -0.0080 -0.0079 -0.0172 -0.0350 -0.0595 -0.0890 -0.1224 -0.1584 -0.1943
 -0.2230 -0.2453 -0.2609 -0.2667 -0.2612 -0.2455 -0.2472 -0.2679 -0.3060 -0.3546
 -0.4063 -0.4583 -0.5094 -0.5596 -0.6088 -0.6574
 -0.0152 -0.0178 -0.0238 -0.0316 -0.0414 -0.0546 -0.0719 -0.0937 -0.1201 -0.1517
 -0.1847 -0.2134 -0.2371 -0.2531 -0.2581 -0.2512 -0.2558 -0.2773 -0.3153 -0.3649
 -0.4184 -0.4720 -0.5247 -0.5762 -0.6263 -0.6754 -0.7241 -0.7751 -0.8300 -0.8861
  0.0077 -0.0063 -0.0209 -0.0349 -0.0473 -0.0591 -0.0717 -0.0864 -0.1037 -0.1231
 -0.1447 -0.1690 -0.1943 -0.2187 -0.2371 -0.2503 -0.2586 -0.2812 -0.3195 -0.3703
 -0.4264 -0.4827 -0.5376 -0.5910 -0.6429 -0.6932 -0.7426 -0.7915 -0.8431 -0.8993
 -0.9578
  0.0526  0.0264  0.0016 -0.0206 -0.0393 -0.0545 -0.0674 -0.0796 -0.0928 -0.1073
 -0.1227 -0.1390 -0.1567 -0.1772 -0.1990 -0.2361 -0.2556 -0.2801 -0.3185 -0.3702
 -0.4291 -0.4889 -0.5471 -0.6033 -0.6576 -0.7100 -0.7610 -0.8110 -0.8610 -0.9131
 -0.9710
  0.1169  0.0798  0.0441  0.0122 -0.0146 -0.0363 -0.0535 -0.0676 -0.0803 -0.0931
 -0.1063 -0.1199 -0.1338 -0.1486 -0.1661 -0.2081 -0.2433 -0.2743 -0.3137 -0.3656
 -0.4267 -0.4904 -0.5528 -0.6127 -0.6703 -0.7257 -0.7793 -0.8313 -0.8822 -0.9333
 -0.9869
  0.1943  0.1485  0.1040  0.0632  0.0276 -0.0021 -0.0261 -0.0452 -0.0610 -0.0750
 -0.0885 -0.1020 -0.1155 -0.1290 -0.1434 -0.1823 -0.2225 -0.2622 -0.3046 -0.3563
 -0.4178 -0.4843 -0.5509 -0.6154 -0.6771 -0.7362 -0.7931 -0.8480 -0.9013 -0.9535
 -1.0053
  0.2789  0.2279  0.1770  0.1293  0.0861  0.0483  0.0165 -0.0096 -0.0311 -0.0493
 -0.0655 -0.0809 -0.0958 -0.1105 -0.1250 -0.1624 -0.2024 -0.2462 -0.2929 -0.3451
 -0.4059 -0.4732 -0.5428 -0.6115 -0.6778 -0.7413 -0.8023 -0.8609 -0.9173 -0.9722
 -1.0261
  0.3694  0.3134  0.2591  0.2068  0.1577  0.1132  0.0740  0.0401  0.0115 -0.0128
 -0.0340 -0.0532 -0.0713 -0.0887 -0.1109 -0.1484 -0.1830 -0.2263 -0.2786
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  y   
 -0.2054 -0.2088 -0.2204 -0.2368 -0.2578 -0.2778 -0.2930 -0.3018 -0.3065 -0.3023
 -0.2874 -0.2645 -0.2378 -0.2111 -0.1865 -0.1415
 -0.1019 -0.1089 -0.1280 -0.1549 -0.1868 -0.2195 -0.2487 -0.2721 -0.2902 -0.2992
 -0.2964 -0.2820 -0.2602 -0.2369 -0.2156 -0.1778 -0.1632 -0.1747 -0.2108
 -0.0252 -0.0303 -0.0512 -0.0831 -0.1216 -0.1627 -0.2020 -0.2364 -0.2652 -0.2854
 -0.2940 -0.2896 -0.2748 -0.2558 -0.2377 -0.2063 -0.1958 -0.2078 -0.2414 -0.2875
 -0.3387
  0.0247  0.0270  0.0100 -0.0214 -0.0621 -0.1074 -0.1529 -0.1947 -0.2315 -0.2609
 -0.2802 -0.2873 -0.2816 -0.2678 -0.2528 -0.2270 -0.2205 -0.2335 -0.2655 -0.3103
 -0.3603 -0.4108 -0.4615
  0.0309  0.0483  0.0488  0.0238 -0.0129 -0.0576 -0.1050 -0.1507 -0.1925 -0.2284
 -0.2563 -0.2741 -0.2796 -0.2734 -0.2622 -0.2414 -0.2385 -0.2530 -0.2841 -0.3281
 -0.3782 -0.4294 -0.4804 -0.5302 -0.5804
  0.0107  0.0379  0.0474  0.0405  0.0184 -0.0180 -0.0652 -0.1126 -0.1560 -0.1942
 -0.2264 -0.2514 -0.2673 -0.2714 -0.2658 -0.2505 -0.2507 -0.2669 -0.2982 -0.3418
 -0.3924 -0.4447 -0.4966 -0.5476 -0.5977 -0.6479
 -0.0100  0.0120  0.0236  0.0256  0.0172 -0.0013 -0.0308 -0.0711 -0.1162 -0.1597
 -0.1966 -0.2251 -0.2463 -0.2599 -0.2629 -0.2547 -0.2580 -0.2761 -0.3080 -0.3518
 -0.4034 -0.4573 -0.5108 -0.5631 -0.6143 -0.6646 -0.7147 -0.7671 -0.8229 -0.8788
 -0.0142  0.0007  0.0067  0.0063  0.0005 -0.0110 -0.0288 -0.0523 -0.0807 -0.1136
 -0.1503 -0.1861 -0.2161 -0.2380 -0.2510 -0.2545 -0.2610 -0.2809 -0.3137 -0.3581
 -0.4108 -0.4668 -0.5226 -0.5770 -0.6299 -0.6814 -0.7322 -0.7830 -0.8355 -0.8922
 -0.9502
 -0.0009  0.0055  0.0047 -0.0010 -0.0098 -0.0207 -0.0339 -0.0501 -0.0696 -0.0916
 -0.1151 -0.1408 -0.1689 -0.1967 -0.2207 -0.2489 -0.2599 -0.2816 -0.3153 -0.3602
 -0.4119 -0.4724 -0.5311 -0.5883 -0.6436 -0.6973 -0.7496 -0.8004 -0.8517 -0.9057
 -0.9638
  0.0334  0.0275  0.0186  0.0059 -0.0081 -0.0223 -0.0359 -0.0496 -0.0644 -0.0806
 -0.0981 -0.1162 -0.1350 -0.1558 -0.1786 -0.2272 -0.2542 -0.2788 -0.3135 -0.3588
 -0.4134 -0.4741 -0.5362 -0.5969 -0.6556 -0.7122 -0.7671 -0.8204 -0.8728 -0.9253
 -0.9797
  0.0878  0.0693  0.0507  0.0294  0.0085 -0.0110 -0.0283 -0.0436 -0.0576 -0.0712
 -0.0853 -0.1001 -0.1151 -0.1306 -0.1475 -0.1941 -0.2369 -0.2712 -0.3077 -0.3529
 -0.4074 -0.4693 -0.5345 -0.5992 -0.6618 -0.7220 -0.7802 -0.8363 -0.8909 -0.9446
 -0.9977
  0.1597  0.1296  0.0998  0.0703  0.0417  0.0154 -0.0077 -0.0272 -0.0437 -0.0583
 -0.0719 -0.0854 -0.0991 -0.1131 -0.1274 -0.1670 -0.2115 -0.2559 -0.2982 -0.3442
 -0.3982 -0.4602 -0.5272 -0.5954 -0.6622 -0.7266 -0.7887 -0.8484 -0.9062 -0.9624
 -1.0176
  0.2469  0.2069  0.1674  0.1288  0.0922  0.0586  0.0288  0.0031 -0.0186 -0.0369
 -0.0529 -0.0676 -0.0819 -0.0961 -0.1183 -0.1459 -0.1780 -0.2329 -0.2850
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  y   
 -0.4990 -0.4910 -0.4810 -0.4657 -0.4428 -0.4111 -0.3706 -0.3252 -0.2989 -0.2875
 -0.2755 -0.2593 -0.2410 -0.2211 -0.2019 -0.1635
 -0.3438 -0.3415 -0.3428 -0.3434 -0.3404 -0.3317 -0.3156 -0.2959 -0.2888 -0.2882
 -0.2847 -0.2744 -0.2589 -0.2413 -0.2244 -0.1926 -0.1761 -0.1783 -0.2021
 -0.2176 -0.2158 -0.2229 -0.2342 -0.2461 -0.2556 -0.2599 -0.2608 -0.2683 -0.2782
 -0.2835 -0.2805 -0.2698 -0.2554 -0.2409 -0.2147 -0.2044 -0.2100 -0.2341 -0.2739
 -0.3221
 -0.1204 -0.1139 -0.1213 -0.1381 -0.1599 -0.1829 -0.2035 -0.2199 -0.2385 -0.2575
 -0.2719 -0.2776 -0.2737 -0.2634 -0.2514 -0.2298 -0.2238 -0.2328 -0.2577 -0.2964
 -0.3438 -0.3936 -0.4447
 -0.0534 -0.0381 -0.0405 -0.0566 -0.0822 -0.1131 -0.1450 -0.1735 -0.2012 -0.2281
 -0.2507 -0.2657 -0.2703 -0.2660 -0.2573 -0.2398 -0.2374 -0.2494 -0.2754 -0.3137
 -0.3608 -0.4115 -0.4628 -0.5133 -0.5647
 -0.0149  0.0124  0.0180  0.0074 -0.0163 -0.0492 -0.0868 -0.1239 -0.1589 -0.1921
 -0.2217 -0.2449 -0.2589 -0.2626 -0.2587 -0.2459 -0.2464 -0.2610 -0.2885 -0.3270
 -0.3741 -0.4255 -0.4777 -0.5296 -0.5806 -0.6324
 -0.0237  0.0175  0.0422  0.0486  0.0364  0.0077 -0.0320 -0.0755 -0.1164 -0.1539
 -0.1879 -0.2171 -0.2391 -0.2518 -0.2549 -0.2486 -0.2519 -0.2687 -0.2976 -0.3368
 -0.3842 -0.4365 -0.4903 -0.5437 -0.5962 -0.6481 -0.7004 -0.7546 -0.8120 -0.8685
 -0.0353  0.0030  0.0293  0.0439  0.0459  0.0351  0.0121 -0.0230 -0.0670 -0.1124
 -0.1531 -0.1870 -0.2137 -0.2332 -0.2447 -0.2480 -0.2542 -0.2730 -0.3032 -0.3432
 -0.3912 -0.4447 -0.5004 -0.5559 -0.6102 -0.6635 -0.7161 -0.7690 -0.8237 -0.8817
 -0.9395
 -0.0363 -0.0031  0.0187  0.0310  0.0351  0.0307  0.0177 -0.0036 -0.0323 -0.0669
 -0.1050 -0.1437 -0.1787 -0.2066 -0.2260 -0.2438 -0.2535 -0.2742 -0.3056 -0.3463
 -0.3950 -0.4497 -0.5075 -0.5656 -0.6225 -0.6779 -0.7322 -0.7856 -0.8396 -0.8944
 -0.9533
 -0.0270  0.0015  0.0179  0.0256  0.0264  0.0218  0.0120 -0.0030 -0.0233 -0.0481
 -0.0755 -0.1042 -0.1337 -0.1631 -0.1901 -0.2332 -0.2497 -0.2726 -0.3053 -0.3468
 -0.3962 -0.4520 -0.5119 -0.5731 -0.6332 -0.6915 -0.7483 -0.8036 -0.8581 -0.9126
 -0.9688
 -0.0034  0.0161  0.0273  0.0299  0.0266  0.0188  0.0080 -0.0051 -0.0210 -0.0396
 -0.0606 -0.0828 -0.1051 -0.1272 -0.1497 -0.2040 -0.2409 -0.2674 -0.3015 -0.3434
 -0.3930 -0.4494 -0.5110 -0.5749 -0.6384 -0.7002 -0.7601 -0.8182 -0.8747 -0.9305
 -0.9862
  0.0394  0.0470  0.0488  0.0454  0.0373  0.0254  0.0115 -0.0032 -0.0183 -0.0342
 -0.0510 -0.0689 -0.0872 -0.1055 -0.1234 -0.1700 -0.2177 -0.2579 -0.2945 -0.3372
 -0.3868 -0.4434 -0.5057 -0.5718 -0.6386 -0.7041 -0.7677 -0.8292 -0.8888 -0.9470
 -1.0041
  0.1055  0.0983  0.0883  0.0758  0.0611  0.0441  0.0260  0.0080 -0.0093 -0.0256
 -0.0413 -0.0570 -0.0729 -0.0889 -0.1112 -0.1312 -0.1801 -0.2441 -0.2843
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  y   
 -0.6380 -0.6281 -0.6119 -0.5863 -0.5450 -0.4885 -0.4180 -0.3414 -0.2985 -0.2814
 -0.2694 -0.2558 -0.2400 -0.2234 -0.2066 -0.1713
 -0.4652 -0.4611 -0.4571 -0.4484 -0.4304 -0.4013 -0.3605 -0.3151 -0.2917 -0.2842
 -0.2790 -0.2699 -0.2566 -0.2415 -0.2266 -0.1977 -0.1824 -0.1811 -0.1986
 -0.3217 -0.3182 -0.3209 -0.3243 -0.3243 -0.3178 -0.3024 -0.2826 -0.2751 -0.2770
 -0.2790 -0.2757 -0.2664 -0.2538 -0.2409 -0.2172 -0.2069 -0.2097 -0.2293 -0.2660
 -0.3112
 -0.2075 -0.1994 -0.2033 -0.2140 -0.2268 -0.2379 -0.2437 -0.2439 -0.2492 -0.2598
 -0.2694 -0.2732 -0.2694 -0.2603 -0.2495 -0.2298 -0.2237 -0.2305 -0.2521 -0.2882
 -0.3342 -0.3840 -0.4357
 -0.1256 -0.1084 -0.1078 -0.1194 -0.1386 -0.1609 -0.1823 -0.1987 -0.2152 -0.2339
 -0.2512 -0.2628 -0.2661 -0.2619 -0.2539 -0.2377 -0.2352 -0.2454 -0.2690 -0.3052
 -0.3508 -0.4011 -0.4517 -0.5029 -0.5557
 -0.0701 -0.0455 -0.0373 -0.0440 -0.0627 -0.0895 -0.1199 -0.1486 -0.1749 -0.2010
 -0.2252 -0.2445 -0.2558 -0.2583 -0.2545 -0.2424 -0.2427 -0.2559 -0.2813 -0.3181
 -0.3637 -0.4145 -0.4668 -0.5191 -0.5712 -0.6237
 -0.0565 -0.0132  0.0104  0.0141  0.0000 -0.0264 -0.0608 -0.0973 -0.1314 -0.1635
 -0.1933 -0.2191 -0.2382 -0.2485 -0.2507 -0.2442 -0.2470 -0.2627 -0.2899 -0.3275
 -0.3734 -0.4248 -0.4786 -0.5324 -0.5855 -0.6379 -0.6911 -0.7470 -0.8053 -0.8624
 -0.0658 -0.0211  0.0104  0.0279  0.0313  0.0206 -0.0037 -0.0406 -0.0835 -0.1241
 -0.1597 -0.1898 -0.2142 -0.2319 -0.2413 -0.2433 -0.2487 -0.2665 -0.2952 -0.3336
 -0.3801 -0.4325 -0.4879 -0.5437 -0.5987 -0.6528 -0.7065 -0.7603 -0.8163 -0.8752
 -0.9336
 -0.0686 -0.0280  0.0007  0.0190  0.0273  0.0256  0.0140 -0.0070 -0.0371 -0.0738
 -0.1134 -0.1517 -0.1842 -0.2086 -0.2250 -0.2392 -0.2478 -0.2674 -0.2974 -0.3366
 -0.3838 -0.4371 -0.4942 -0.5526 -0.6101 -0.6663 -0.7215 -0.7761 -0.8308 -0.8873
 -0.9471
 -0.0621 -0.0261 -0.0022  0.0123  0.0188  0.0185  0.0115 -0.0022 -0.0224 -0.0480
 -0.0770 -0.1077 -0.1390 -0.1690 -0.1948 -0.2304 -0.2441 -0.2658 -0.2972 -0.3373
 -0.3852 -0.4395 -0.4984 -0.5594 -0.6200 -0.6791 -0.7369 -0.7933 -0.8487 -0.9046
 -0.9620
 -0.0459 -0.0164  0.0033  0.0133  0.0161  0.0135  0.0066 -0.0041 -0.0189 -0.0377
 -0.0594 -0.0828 -0.1063 -0.1296 -0.1531 -0.2060 -0.2367 -0.2609 -0.2937 -0.3343
 -0.3825 -0.4374 -0.4976 -0.5610 -0.6248 -0.6872 -0.7480 -0.8071 -0.8647 -0.9216
 -0.9784
