 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -0.4716 -0.4222 -0.3656 -0.3068 -0.2516 -0.1404 -0.0686 -0.0334 -0.0255 -0.0336
 -0.0518
 -0.9113 -0.7863 -0.6964 -0.6426 -0.5946 -0.5583 -0.5302 -0.5052 -0.4809 -0.4560
 -0.4284 -0.3954 -0.3534 -0.3037 -0.2542 -0.1526 -0.0863 -0.0527 -0.0452 -0.0530
 -0.0695 -0.0928 -0.1223
 -0.8883 -0.7440 -0.6381 -0.5655 -0.5174 -0.4857 -0.4633 -0.4443 -0.4245 -0.4053
 -0.3860 -0.3648 -0.3377 -0.2998 -0.2566 -0.1635 -0.1015 -0.0691 -0.0617 -0.0696
 -0.0856 -0.1070 -0.1332 -0.1636 -0.1991
 -0.8899 -0.7497 -0.6314 -0.5415 -0.4766 -0.4314 -0.4014 -0.3827 -0.3720 -0.3642
 -0.3497 -0.3327 -0.3141 -0.2897 -0.2551 -0.1708 -0.1127 -0.0817 -0.0746 -0.0833
 -0.0997 -0.1207 -0.1455 -0.1739 -0.2060 -0.2421
 -0.8832 -0.7496 -0.6340 -0.5374 -0.4592 -0.3987 -0.3544 -0.3244 -0.3068 -0.3007
 -0.2993 -0.2936 -0.2838 -0.2690 -0.2460 -0.1730 -0.1189 -0.0893 -0.0830 -0.0933
 -0.1115 -0.1333 -0.1580 -0.1853 -0.2153 -0.2484 -0.2851 -0.3274 -0.3759 -0.4260
 -0.8552 -0.7348 -0.6279 -0.5364 -0.4594 -0.3959 -0.3451 -0.3061 -0.2778 -0.2579
 -0.2451 -0.2384 -0.2340 -0.2295 -0.2204 -0.1690 -0.1196 -0.0916 -0.0859 -0.0981
 -0.1193 -0.1437 -0.1696 -0.1971 -0.2264 -0.2577 -0.2916 -0.3285 -0.3711 -0.4206
 -0.4726
 -0.8025 -0.6979 -0.6035 -0.5214 -0.4510 -0.3909 -0.3397 -0.2971 -0.2630 -0.2367
 -0.2162 -0.2004 -0.1887 -0.1815 -0.1773 -0.1515 -0.1143 -0.0888 -0.0835 -0.0968
 -0.1215 -0.1497 -0.1786 -0.2079 -0.2379 -0.2688 -0.3013 -0.3359 -0.3734 -0.4161
 -0.4667
 -0.7253 -0.6363 -0.5561 -0.4855 -0.4248 -0.3723 -0.3263 -0.2858 -0.2506 -0.2211
 -0.1968 -0.1771 -0.1606 -0.1472 -0.1386 -0.1199 -0.0989 -0.0805 -0.0763 -0.0901
 -0.1174 -0.1502 -0.1835 -0.2163 -0.2485 -0.2807 -0.3133 -0.3469 -0.3821 -0.4201
 -0.4635
 -0.6354 -0.5603 -0.4927 -0.4328 -0.3814 -0.3378 -0.2995 -0.2650 -0.2334 -0.2048
 -0.1796 -0.1582 -0.1401 -0.1246 -0.1122 -0.0909 -0.0760 -0.0665 -0.0655 -0.0790
 -0.1068 -0.1428 -0.1810 -0.2186 -0.2547 -0.2897 -0.3241 -0.3583 -0.3929 -0.4287
 -0.4666
 -0.5448 -0.4753 -0.4172 -0.3665 -0.3234 -0.2874 -0.2570 -0.2301 -0.2049 -0.1810
 -0.1584 -0.1379 -0.1198 -0.1043 -0.0913 -0.0681 -0.0537 -0.0487 -0.0521 -0.0660
 -0.0931 -0.1300 -0.1717 -0.2141 -0.2551 -0.2943 -0.3321 -0.3685 -0.4043 -0.4400
 -0.4766
 -0.4559 -0.3916 -0.3375 -0.2926 -0.2557 -0.2257 -0.2015 -0.1812 -0.1631 -0.1459
 -0.1287 -0.1119 -0.0961 -0.0820 -0.0759 -0.0515 -0.0320 -0.0271 -0.0361
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.7047 -1.6150 -1.5317 -1.4470 -1.3649 -1.2623 -1.1274 -0.9610 -0.8086 -0.6812
 -0.5720 -0.4772 -0.3939 -0.3204 -0.2553 -0.1241
 -1.4890 -1.3899 -1.3034 -1.2227 -1.1454 -1.0601 -0.9544 -0.8289 -0.7153 -0.6179
 -0.5314 -0.4519 -0.3785 -0.3122 -0.2531 -0.1346 -0.0533 -0.0073  0.0068
 -1.3225 -1.2144 -1.1231 -1.0429 -0.9689 -0.8961 -0.8142 -0.7209 -0.6365 -0.5624
 -0.4947 -0.4297 -0.3666 -0.3073 -0.2535 -0.1455 -0.0720 -0.0299 -0.0158 -0.0214
 -0.0389
 -1.2052 -1.0885 -0.9908 -0.9076 -0.8353 -0.7704 -0.7068 -0.6370 -0.5722 -0.5147
 -0.4619 -0.4106 -0.3582 -0.3057 -0.2565 -0.1568 -0.0887 -0.0492 -0.0349 -0.0396
 -0.0557 -0.0788 -0.1081
 -1.1214 -0.9853 -0.8817 -0.8020 -0.7325 -0.6718 -0.6179 -0.5649 -0.5142 -0.4688
 -0.4275 -0.3880 -0.3471 -0.3031 -0.2588 -0.1661 -0.1025 -0.0651 -0.0508 -0.0548
 -0.0702 -0.0921 -0.1191 -0.1507 -0.1875
 -1.0766 -0.9210 -0.7969 -0.7004 -0.6278 -0.5760 -0.5389 -0.5016 -0.4630 -0.4260
 -0.3918 -0.3603 -0.3294 -0.2957 -0.2579 -0.1723 -0.1125 -0.0771 -0.0634 -0.0673
 -0.0828 -0.1044 -0.1301 -0.1597 -0.1931 -0.2310
 -1.0718 -0.9088 -0.7685 -0.6522 -0.5606 -0.4913 -0.4431 -0.4136 -0.3946 -0.3775
 -0.3564 -0.3315 -0.3060 -0.2804 -0.2514 -0.1746 -0.1185 -0.0852 -0.0724 -0.0767
 -0.0931 -0.1155 -0.1412 -0.1697 -0.2012 -0.2358 -0.2741 -0.3180 -0.3673 -0.4172
 -1.0731 -0.9099 -0.7660 -0.6436 -0.5428 -0.4629 -0.4019 -0.3564 -0.3236 -0.3027
 -0.2919 -0.2844 -0.2733 -0.2571 -0.2366 -0.1724 -0.1204 -0.0891 -0.0774 -0.0824
 -0.1000 -0.1243 -0.1513 -0.1802 -0.2109 -0.2437 -0.2794 -0.3184 -0.3621 -0.4119
 -0.4635
 -1.0664 -0.9092 -0.7676 -0.6444 -0.5410 -0.4563 -0.3884 -0.3349 -0.2939 -0.2628
 -0.2397 -0.2246 -0.2166 -0.2113 -0.2042 -0.1645 -0.1178 -0.0888 -0.0780 -0.0837
 -0.0999 -0.1294 -0.1590 -0.1896 -0.2210 -0.2535 -0.2878 -0.3237 -0.3628 -0.4072
 -0.4580
 -1.0355 -0.8932 -0.7582 -0.6397 -0.5382 -0.4534 -0.3836 -0.3263 -0.2801 -0.2434
 -0.2144 -0.1916 -0.1742 -0.1627 -0.1562 -0.1401 -0.1097 -0.0840 -0.0745 -0.0807
 -0.1006 -0.1299 -0.1630 -0.1968 -0.2305 -0.2642 -0.2985 -0.3338 -0.3708 -0.4104
 -0.4547
 -0.9863 -0.8562 -0.7340 -0.6234 -0.5271 -0.4456 -0.3777 -0.3206 -0.2729 -0.2331
 -0.2004 -0.1736 -0.1518 -0.1342 -0.1211 -0.1042 -0.0903 -0.0747 -0.0671 -0.0733
 -0.0932 -0.1240 -0.1606 -0.1985 -0.2357 -0.2721 -0.3081 -0.3439 -0.3803 -0.4179
 -0.4571
 -0.9314 -0.8070 -0.6935 -0.5909 -0.5016 -0.4255 -0.3615 -0.3078 -0.2621 -0.2230
 -0.1893 -0.1605 -0.1363 -0.1161 -0.0996 -0.0741 -0.0630 -0.0574 -0.0558 -0.0630
 -0.0823 -0.1133 -0.1521 -0.1940 -0.2357 -0.2760 -0.3151 -0.3531 -0.3905 -0.4279
 -0.4661
 -0.8813 -0.7555 -0.6445 -0.5472 -0.4634 -0.3924 -0.3331 -0.2837 -0.2419 -0.2060
 -0.1745 -0.1466 -0.1221 -0.1010 -0.0917 -0.0498 -0.0278 -0.0321 -0.0406
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.3110 -2.2084 -2.1045 -1.9914 -1.8812 -1.7261 -1.4945 -1.1969 -0.9516 -0.7193
 -0.5768 -0.4694 -0.3850 -0.3129 -0.2506 -0.1264
 -2.0231 -1.9168 -1.8184 -1.7191 -1.6165 -1.4857 -1.3002 -1.0609 -0.8421 -0.6739
 -0.5490 -0.4517 -0.3727 -0.3061 -0.2487 -0.1352 -0.0538 -0.0035  0.0187
 -1.7948 -1.6807 -1.5817 -1.4893 -1.3945 -1.2852 -1.1395 -0.9503 -0.7758 -0.6354
 -0.5259 -0.4379 -0.3644 -0.3023 -0.2488 -0.1438 -0.0707 -0.0249 -0.0042 -0.0048
 -0.0205
 -1.6261 -1.5001 -1.3944 -1.3020 -1.2152 -1.1246 -1.0124 -0.8651 -0.7230 -0.6038
 -0.5075 -0.4280 -0.3601 -0.3015 -0.2509 -0.1522 -0.0843 -0.0421 -0.0226 -0.0221
 -0.0361 -0.0589 -0.0890
 -1.5018 -1.3656 -1.2510 -1.1530 -1.0665 -0.9854 -0.8992 -0.7877 -0.6726 -0.5715
 -0.4874 -0.4167 -0.3551 -0.3006 -0.2527 -0.1591 -0.0953 -0.0558 -0.0375 -0.0366
 -0.0493 -0.0710 -0.0988 -0.1314 -0.1698
 -1.3707 -1.2364 -1.1269 -1.0318 -0.9456 -0.8672 -0.7932 -0.7110 -0.6200 -0.5355
 -0.4628 -0.4009 -0.3465 -0.2972 -0.2526 -0.1637 -0.1033 -0.0661 -0.0491 -0.0483
 -0.0604 -0.0814 -0.1079 -0.1389 -0.1739 -0.2137
 -1.2971 -1.1337 -1.0001 -0.8943 -0.8120 -0.7468 -0.6886 -0.6292 -0.5624 -0.4947
 -0.4332 -0.3795 -0.3322 -0.2892 -0.2492 -0.1656 -0.1084 -0.0734 -0.0575 -0.0572
 -0.0693 -0.0903 -0.1168 -0.1468 -0.1801 -0.2169 -0.2577 -0.3036 -0.3544 -0.4045
 -1.2753 -1.0976 -0.9448 -0.8168 -0.7131 -0.6304 -0.5650 -0.5140 -0.4712 -0.4318
 -0.3921 -0.3518 -0.3123 -0.2754 -0.2409 -0.1645 -0.1103 -0.0774 -0.0627 -0.0631
 -0.0756 -0.0973 -0.1246 -0.1550 -0.1877 -0.2228 -0.2607 -0.3021 -0.3481 -0.3991
 -0.4502
 -1.2763 -1.0919 -0.9295 -0.7895 -0.6715 -0.5753 -0.4980 -0.4360 -0.3854 -0.3444
 -0.3140 -0.2921 -0.2727 -0.2507 -0.2253 -0.1598 -0.1091 -0.0782 -0.0646 -0.0656
 -0.0788 -0.1015 -0.1304 -0.1623 -0.1957 -0.2304 -0.2671 -0.3059 -0.3481 -0.3936
 -0.4445
 -1.2839 -1.0971 -0.9309 -0.7844 -0.6585 -0.5533 -0.4675 -0.3983 -0.3425 -0.2971
 -0.2599 -0.2309 -0.2105 -0.1970 -0.1858 -0.1483 -0.1037 -0.0753 -0.0630 -0.0648
 -0.0787 -0.1025 -0.1333 -0.1677 -0.2032 -0.2391 -0.2759 -0.3136 -0.3531 -0.3952
 -0.4413
 -1.2874 -1.1056 -0.9390 -0.7904 -0.6604 -0.5499 -0.4583 -0.3834 -0.3227 -0.2735
 -0.2333 -0.2004 -0.1737 -0.1531 -0.1388 -0.1185 -0.0938 -0.0690 -0.0582 -0.0604
 -0.0746 -0.0990 -0.1315 -0.1686 -0.2071 -0.2454 -0.2836 -0.3217 -0.3605 -0.4006
 -0.4429
 -1.2824 -1.1041 -0.9417 -0.7943 -0.6635 -0.5507 -0.4562 -0.3781 -0.3141 -0.2616
 -0.2185 -0.1830 -0.1535 -0.1293 -0.1098 -0.0818 -0.0695 -0.0579 -0.0498 -0.0529
 -0.0671 -0.0918 -0.1253 -0.1647 -0.2064 -0.2481 -0.2891 -0.3291 -0.3688 -0.4087
 -0.4493
 -1.2825 -1.0989 -0.9355 -0.7904 -0.6606 -0.5480 -0.4526 -0.3731 -0.3077 -0.2537
 -0.2089 -0.1716 -0.1403 -0.1141 -0.0988 -0.0382 -0.0308 -0.0420 -0.0378
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  i   
 -2.5582 -2.4505 -2.3386 -2.2136 -2.0841 -1.8982 -1.6213 -1.2685 -0.9815 -0.7257
 -0.5738 -0.4641 -0.3784 -0.3075 -0.2466 -0.1239
 -2.2493 -2.1367 -2.0306 -1.9210 -1.8031 -1.6484 -1.4271 -1.1417 -0.8820 -0.6878
 -0.5504 -0.4482 -0.3674 -0.3009 -0.2440 -0.1318 -0.0518  0.0003  0.0256
 -2.0007 -1.8791 -1.7726 -1.6715 -1.5650 -1.4378 -1.2646 -1.0376 -0.8252 -0.6575
 -0.5327 -0.4372 -0.3606 -0.2974 -0.2436 -0.1392 -0.0658 -0.0189  0.0036  0.0048
 -0.0090
 -1.8124 -1.6777 -1.5646 -1.4651 -1.3698 -1.2665 -1.1338 -0.9562 -0.7811 -0.6348
 -0.5207 -0.4311 -0.3580 -0.2970 -0.2454 -0.1461 -0.0778 -0.0345 -0.0138 -0.0119
 -0.0250 -0.0479 -0.0787
 -1.6728 -1.5254 -1.4021 -1.2974 -1.2045 -1.1149 -1.0147 -0.8799 -0.7370 -0.6107
 -0.5077 -0.4247 -0.3557 -0.2972 -0.2472 -0.1521 -0.0875 -0.0470 -0.0277 -0.0257
 -0.0374 -0.0590 -0.0869 -0.1205 -0.1603
 -1.5303 -1.3921 -1.2709 -1.1641 -1.0690 -0.9831 -0.8999 -0.8012 -0.6879 -0.5812
 -0.4901 -0.4146 -0.3509 -0.2957 -0.2479 -0.1562 -0.0948 -0.0565 -0.0385 -0.0367
 -0.0477 -0.0684 -0.0953 -0.1269 -0.1630 -0.2039
 -1.4066 -1.2445 -1.1162 -1.0157 -0.9345 -0.8619 -0.7907 -0.7168 -0.6313 -0.5444
 -0.4661 -0.3990 -0.3415 -0.2910 -0.2461 -0.1582 -0.0995 -0.0633 -0.0463 -0.0450
 -0.0560 -0.0763 -0.1029 -0.1336 -0.1678 -0.2055 -0.2476 -0.2950 -0.3467 -0.3973
 -1.3633 -1.1801 -1.0256 -0.8997 -0.7989 -0.7181 -0.6536 -0.6000 -0.5471 -0.4902
 -0.4320 -0.3765 -0.3263 -0.2814 -0.2406 -0.1575 -0.1014 -0.0672 -0.0512 -0.0505
 -0.0618 -0.0825 -0.1096 -0.1405 -0.1742 -0.2104 -0.2497 -0.2923 -0.3396 -0.3915
 -0.4430
 -1.3572 -1.1631 -0.9947 -0.8514 -0.7326 -0.6361 -0.5579 -0.4936 -0.4393 -0.3935
 -0.3573 -0.3267 -0.2962 -0.2634 -0.2296 -0.1540 -0.1005 -0.0682 -0.0531 -0.0529
 -0.0648 -0.0861 -0.1143 -0.1466 -0.1809 -0.2168 -0.2547 -0.2949 -0.3380 -0.3852
 -0.4375
 -1.3667 -1.1669 -0.9908 -0.8377 -0.7074 -0.5991 -0.5107 -0.4388 -0.3796 -0.3296
 -0.2879 -0.2555 -0.2324 -0.2151 -0.1984 -0.1455 -0.0959 -0.0657 -0.0520 -0.0524
