 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  V   
 -1.1580 -1.1335 -1.1039 -1.0701 -1.0330 -0.9334 -0.8351 -0.7483 -0.6787 -0.6281
 -0.5940 -0.5736 -0.5627 -0.5568 -0.5521 -0.5465 -0.5397 -0.5315 -0.5223 -0.5128
 -0.5044
 -1.0590 -1.0331 -1.0252 -1.0333 -1.0430 -1.0512 -1.0622 -1.0724 -1.0798 -1.0815
 -1.0771 -1.0673 -1.0523 -1.0319 -1.0060 -0.9201 -0.8245 -0.7424 -0.6733
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  V   
 -3.8200 -3.4541 -3.2102 -3.0834 -3.0718 -3.4642 -3.2005 -2.9539 -2.7580 -2.5937
 -2.3734 -2.1538 -2.0461 -1.9849 -1.8729 -1.4261
 -3.6775 -3.3216 -3.0656 -2.9018 -2.8262 -2.9804 -2.8218 -2.6612 -2.5141 -2.3752
 -2.2127 -2.0486 -1.9242 -1.8171 -1.6901 -1.3147 -1.0233 -0.8180 -0.6755
 -3.5272 -3.1883 -2.9299 -2.7424 -2.6203 -2.6075 -2.5099 -2.4045 -2.2926 -2.1753
 -2.0536 -1.9283 -1.8003 -1.6702 -1.5385 -1.2218 -0.9754 -0.7980 -0.6726 -0.5815
 -0.5118
 -3.3691 -3.0542 -2.8031 -2.6052 -2.4542 -2.3455 -2.2648 -2.1839 -2.0934 -1.9940
 -1.8960 -1.7931 -1.6744 -1.5440 -1.4181 -1.1474 -0.9376 -0.7842 -0.6737 -0.5916
 -0.5274 -0.4751 -0.4296
 -3.2032 -2.9193 -2.6852 -2.4902 -2.3279 -2.1944 -2.0865 -1.9992 -1.9165 -1.8314
 -1.7400 -1.6429 -1.5465 -1.4386 -1.3289 -1.0915 -0.9099 -0.7766 -0.6789 -0.6045
 -0.5452 -0.4958 -0.4534 -0.4166 -0.3858
 -3.0295 -2.7836 -2.5762 -2.3974 -2.2414 -2.1053 -1.9871 -1.8850 -1.7955 -1.7133
 -1.6298 -1.5406 -1.4528 -1.3614 -1.2650 -1.0516 -0.8891 -0.7712 -0.6850 -0.6181
 -0.5637 -0.5177 -0.4776 -0.4420 -0.4104 -0.3830
 -2.8426 -2.6348 -2.4579 -2.3022 -2.1619 -2.0342 -1.9180 -1.8129 -1.7181 -1.6312
 -1.5485 -1.4667 -1.3841 -1.3054 -1.2207 -1.0251 -0.8738 -0.7654 -0.6886 -0.6296
 -0.5810 -0.5391 -0.5022 -0.4689 -0.4384 -0.4110 -0.3872 -0.3715 -0.3668 -0.3706
 -2.6525 -2.4771 -2.3282 -2.1968 -2.0760 -1.9629 -1.8561 -1.7559 -1.6623 -1.5753
 -1.4933 -1.4142 -1.3361 -1.2619 -1.1867 -1.0084 -0.8639 -0.7593 -0.6877 -0.6358
 -0.5939 -0.5576 -0.5251 -0.4954 -0.4675 -0.4414 -0.4181 -0.3978 -0.3860 -0.3865
 -0.3962
 -2.3544 -2.2848 -2.1933 -2.0823 -1.9804 -1.8839 -1.7903 -1.6996 -1.6126 -1.5294
 -1.4500 -1.3742 -1.3005 -1.2289 -1.1595 -0.9949 -0.8582 -0.7545 -0.6817 -0.6354
 -0.5968 -0.5704 -0.5437 -0.5189 -0.4952 -0.4721 -0.4505 -0.4336 -0.4219 -0.4147
 -0.4117
 -2.2644 -2.1425 -2.0430 -1.9638 -1.8766 -1.7948 -1.7152 -1.6367 -1.5591 -1.4829
 -1.4088 -1.3373 -1.2680 -1.2008 -1.1355 -0.9809 -0.8511 -0.7502 -0.6780 -0.6300
 -0.5982 -0.5749 -0.5552 -0.5368 -0.5186 -0.5002 -0.4820 -0.4645 -0.4486 -0.4365
 -0.4318
 -2.1242 -2.0153 -1.9242 -1.8492 -1.7722 -1.7006 -1.6331 -1.5664 -1.4999 -1.4333
 -1.3668 -1.3014 -1.2373 -1.1750 -1.1143 -0.9692 -0.8450 -0.7464 -0.6739 -0.6240
 -0.5921 -0.5722 -0.5585 -0.5471 -0.5358 -0.5235 -0.5107 -0.4973 -0.4840 -0.4721
 -0.4609
 -1.9902 -1.9031 -1.8209 -1.7430 -1.6764 -1.6171 -1.5604 -1.4880 -1.4320 -1.3755
 -1.3184 -1.2610 -1.2036 -1.1469 -1.0912 -0.9575 -0.8379 -0.7419 -0.6695 -0.6184
 -0.5849 -0.5650 -0.5545 -0.5488 -0.5444 -0.5393 -0.5330 -0.5254 -0.5167 -0.5079
 -0.5000
 -1.8624 -1.8061 -1.7331 -1.6452 -1.5890 -1.5444 -1.4723 -1.4230 -1.3738 -1.3091
 -1.2614 -1.2131 -1.1639 -1.1142 -1.0662 -0.9458 -0.8298 -0.7367 -0.6648
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -4.7832 -4.5326 -4.3634 -4.0452 -3.5838 -3.2046 -3.0538 -3.0185 -2.9288 -2.7431
 -2.5259 -2.3037 -2.1062 -1.9390 -1.7738 -1.3929
 -4.2670 -3.9266 -3.6820 -3.4125 -3.1149 -2.8716 -2.7313 -2.6449 -2.5432 -2.4050
 -2.2487 -2.0804 -1.9124 -1.7562 -1.6077 -1.2803 -1.0147 -0.8144 -0.6580
 -3.8751 -3.4792 -3.1848 -2.9436 -2.7463 -2.5882 -2.4597 -2.3488 -2.2438 -2.1366
 -2.0212 -1.8929 -1.7519 -1.6092 -1.4753 -1.1901 -0.9647 -0.7932 -0.6641 -0.5703
 -0.5074
 -3.6075 -3.1904 -2.8718 -2.6385 -2.4780 -2.3544 -2.2390 -2.1302 -2.0306 -1.9379
 -1.8434 -1.7412 -1.6247 -1.4980 -1.3766 -1.1223 -0.9269 -0.7785 -0.6691 -0.5868
 -0.5222 -0.4698 -0.4259
 -3.4642 -3.0602 -2.7430 -2.4972 -2.3100 -2.1702 -2.0692 -1.9891 -1.9036 -1.8089
 -1.7153 -1.6253 -1.5308 -1.4226 -1.3116 -1.0769 -0.9013 -0.7703 -0.6731 -0.5987
 -0.5392 -0.4897 -0.4474 -0.4100 -0.3788
 -3.3586 -2.9791 -2.6762 -2.4354 -2.2438 -2.0917 -1.9709 -1.8739 -1.7946 -1.7214
 -1.6382 -1.5477 -1.4604 -1.3688 -1.2694 -1.0484 -0.8844 -0.7651 -0.6782 -0.6112
 -0.5568 -0.5108 -0.4708 -0.4355 -0.4044 -0.3776
 -3.2499 -2.9034 -2.6229 -2.3951 -2.2086 -2.0545 -1.9264 -1.8189 -1.7268 -1.6451
 -1.5690 -1.4914 -1.4099 -1.3282 -1.2395 -1.0311 -0.8733 -0.7605 -0.6811 -0.6216
 -0.5730 -0.5314 -0.4947 -0.4617 -0.4318 -0.4049 -0.3818 -0.3667 -0.3623 -0.3662
 -3.1270 -2.8168 -2.5629 -2.3534 -2.1777 -2.0284 -1.8999 -1.7880 -1.6901 -1.6023
 -1.5210 -1.4431 -1.3660 -1.2919 -1.2142 -1.0205 -0.8662 -0.7558 -0.6803 -0.6271
 -0.5852 -0.5491 -0.5170 -0.4875 -0.4602 -0.4347 -0.4121 -0.3926 -0.3813 -0.3821
 -0.3920
 -2.9980 -2.7206 -2.4922 -2.3022 -2.1404 -1.9998 -1.8755 -1.7643 -1.6643 -1.5739
 -1.4905 -1.4114 -1.3351 -1.2610 -1.1897 -1.0116 -0.8621 -0.7515 -0.6764 -0.6266
 -0.5908 -0.5614 -0.5350 -0.5106 -0.4873 -0.4649 -0.4439 -0.4251 -0.4100 -0.4019
 -0.4076
 -2.8679 -2.6196 -2.4128 -2.2397 -2.0915 -1.9611 -1.8437 -1.7368 -1.6387 -1.5484
 -1.4647 -1.3861 -1.3109 -1.2380 -1.1683 -1.0001 -0.8573 -0.7476 -0.6709 -0.6212
 -0.5890 -0.5658 -0.5463 -0.5281 -0.5104 -0.4925 -0.4750 -0.4582 -0.4431 -0.4317
 -0.4275
 -2.7536 -2.5298 -2.3375 -2.1755 -2.0375 -1.9160 -1.8063 -1.7048 -1.6107 -1.5229
 -1.4409 -1.3638 -1.2906 -1.2204 -1.1526 -0.9912 -0.8531 -0.7452 -0.6670 -0.6151
 -0.5829 -0.5631 -0.5497 -0.5384 -0.5274 -0.5156 -0.5034 -0.4907 -0.4781 -0.4669
 -0.4563
 -2.6594 -2.4528 -2.2714 -2.1149 -1.9810 -1.8652 -1.7615 -1.6658 -1.5764 -1.4924
 -1.4134 -1.3390 -1.2685 -1.2013 -1.1365 -0.9830 -0.8484 -0.7418 -0.6634 -0.6095
 -0.5755 -0.5560 -0.5458 -0.5402 -0.5361 -0.5313 -0.5256 -0.5186 -0.5106 -0.5024
 -0.4952
 -2.5854 -2.3886 -2.2167 -2.0630 -1.9296 -1.8141 -1.7125 -1.6209 -1.5358 -1.4560
 -1.3807 -1.3096 -1.2425 -1.1787 -1.1200 -0.9755 -0.8432 -0.7374 -0.6601
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  V   
 -5.5502 -5.0539 -4.6515 -4.3538 -4.0464 -3.7466 -3.4420 -3.1440 -2.8647 -2.6202
 -2.4005 -2.1993 -2.0152 -1.8478 -1.6520 -1.3271
 -5.1604 -4.6501 -4.2116 -3.8379 -3.5205 -3.2429 -2.9896 -2.7508 -2.5322 -2.3386
 -2.1607 -1.9905 -1.8262 -1.6730 -1.5194 -1.2274 -0.9933 -0.8071 -0.6674
 -4.7621 -4.2462 -3.8022 -3.4299 -3.1214 -2.8649 -2.6466 -2.4498 -2.2741 -2.1177
 -1.9724 -1.8296 -1.6854 -1.5455 -1.4170 -1.1505 -0.9448 -0.7842 -0.6623 -0.5708
 -0.4996
 -4.3553 -3.8422 -3.4233 -3.1298 -2.8492 -2.6125 -2.4130 -2.2410 -2.0904 -1.9575
 -1.8356 -1.7166 -1.5928 -1.4653 -1.3448 -1.0964 -0.9106 -0.7688 -0.6611 -0.5790
 -0.5136 -0.4617 -0.4187
 -4.0520 -3.5416 -3.1410 -2.8358 -2.6011 -2.4127 -2.2508 -2.1016 -1.9648 -1.8426
 -1.7333 -1.6313 -1.5279 -1.4157 -1.3028 -1.0651 -0.8907 -0.7609 -0.6638 -0.5894
 -0.5299 -0.4805 -0.4384 -0.4014 -0.3709
 -3.9305 -3.4170 -3.0040 -2.6850 -2.4411 -2.2532 -2.1050 -1.9830 -1.8757 -1.7729
 -1.6678 -1.5692 -1.4765 -1.3814 -1.2785 -1.0489 -0.8800 -0.7574 -0.6678 -0.6002
 -0.5459 -0.5002 -0.4606 -0.4258 -0.3954 -0.3693
 -3.8722 -3.3615 -2.9485 -2.6210 -2.3634 -2.1610 -2.0019 -1.8759 -1.7751 -1.6933
 -1.6158 -1.5297 -1.4409 -1.3531 -1.2617 -1.0414 -0.8747 -0.7554 -0.6707 -0.6091
 -0.5606 -0.5193 -0.4832 -0.4508 -0.4216 -0.3957 -0.3737 -0.3594 -0.3553 -0.3590
 -3.8190 -3.3292 -2.9251 -2.6012 -2.3436 -2.1382 -1.9732 -1.8393 -1.7291 -1.6357
 -1.5541 -1.4800 -1.4055 -1.3280 -1.2460 -1.0384 -0.8723 -0.7536 -0.6712 -0.6142
 -0.5715 -0.5359 -0.5043 -0.4755 -0.4489 -0.4244 -0.4028 -0.3844 -0.3740 -0.3749
 -0.3848
 -3.7528 -3.2912 -2.9059 -2.5923 -2.3391 -2.1344 -1.9669 -1.8278 -1.7111 -1.6113
 -1.5227 -1.4420 -1.3667 -1.2954 -1.2244 -1.0351 -0.8716 -0.7518 -0.6692 -0.6143
 -0.5767 -0.5472 -0.5214 -0.4976 -0.4751 -0.4535 -0.4337 -0.4159 -0.4019 -0.3946
 -0.4006
 -3.6638 -3.2341 -2.8744 -2.5763 -2.3325 -2.1322 -1.9655 -1.8246 -1.7038 -1.5989
 -1.5060 -1.4215 -1.3427 -1.2683 -1.1986 -1.0257 -0.8699 -0.7490 -0.6650 -0.6099
 -0.5751 -0.5513 -0.5321 -0.5145 -0.4973 -0.4804 -0.4639 -0.4482 -0.4343 -0.4239
 -0.4205
 -3.5642 -3.1789 -2.8446 -2.5620 -2.3269 -2.1314 -1.9666 -1.8254 -1.7026 -1.5946
 -1.4984 -1.4113 -1.3308 -1.2549 -1.1833 -1.0165 -0.8683 -0.7486 -0.6620 -0.6046
 -0.5696 -0.5488 -0.5353 -0.5244 -0.5139 -0.5029 -0.4915 -0.4799 -0.4685 -0.4584
 -0.4490
 -3.4687 -3.1237 -2.8155 -2.5481 -2.3210 -2.1290 -1.9656 -1.8245 -1.7007 -1.5908
 -1.4924 -1.4035 -1.3219 -1.2459 -1.1740 -1.0089 -0.8649 -0.7476 -0.6597 -0.5996
 -0.5625 -0.5419 -0.5315 -0.5262 -0.5225 -0.5183 -0.5133 -0.5072 -0.5003 -0.4933
 -0.4871
 -3.3802 -3.0708 -2.7922 -2.5421 -2.3209 -2.1290 -1.9652 -1.8229 -1.6975 -1.5859
 -1.4857 -1.3952 -1.3128 -1.2368 -1.1707 -1.0029 -0.8597 -0.7460 -0.6581
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.4663 -6.1026 -5.7434 -5.3748 -5.0139 -4.5975 -4.0953 -3.5154 -3.0165 -2.6296
 -2.3303 -2.0940 -1.8999 -1.7342 -1.5883 -1.2839
 -6.0365 -5.5800 -5.1577 -4.7593 -4.3825 -3.9962 -3.5674 -3.1022 -2.7055 -2.3893
 -2.1367 -1.9289 -1.7519 -1.5980 -1.4623 -1.1847 -0.9685 -0.7956 -0.6604
 -5.6860 -5.1753 -4.7108 -4.2893 -3.9032 -3.5405 -3.1723 -2.7953 -2.4726 -2.2085
 -1.9917 -1.8079 -1.6465 -1.5028 -1.3749 -1.1157 -0.9209 -0.7697 -0.6516 -0.5604
 -0.4884
 -5.4148 -4.8885 -4.4027 -3.9648 -3.5761 -3.2303 -2.9100 -2.5947 -2.3178 -2.0872
 -1.8953 -1.7310 -1.5837 -1.4486 -1.3261 -1.0769 -0.8937 -0.7555 -0.6492 -0.5669
 -0.5020 -0.4488 -0.4052
 -5.0358 -4.5135 -4.0962 -3.7049 -3.3404 -3.0106 -2.7183 -2.4484 -2.2057 -1.9990
 -1.8254 -1.6770 -1.5439 -1.4188 -1.3015 -1.0582 -0.8804 -0.7494 -0.6508 -0.5753
 -0.5157 -0.4664 -0.4248 -0.3887 -0.3592
 -4.6991 -4.1672 -3.7257 -3.3582 -3.0491 -2.7855 -2.5524 -2.3285 -2.1186 -1.9323
 -1.7720 -1.6346 -1.5136 -1.4002 -1.2901 -1.0516 -0.8756 -0.7481 -0.6544 -0.5842
 -0.5294 -0.4841 -0.4452 -0.4113 -0.3817 -0.3574
 -4.5755 -4.0035 -3.5234 -3.1287 -2.8071 -2.5443 -2.3306 -2.1567 -2.0075 -1.8685
 -1.7314 -1.6034 -1.4884 -1.3840 -1.2834 -1.0517 -0.8755 -0.7490 -0.6581 -0.5919
 -0.5419 -0.5011 -0.4658 -0.4344 -0.4064 -0.3818 -0.3614 -0.3485 -0.3450 -0.3482
 -4.5558 -3.9579 -3.4501 -3.0339 -2.6976 -2.4269 -2.2081 -2.0294 -1.8819 -1.7611
 -1.6605 -1.5656 -1.4677 -1.3702 -1.2762 -1.0549 -0.8781 -0.7505 -0.6606 -0.5971
 -0.5513 -0.5155 -0.4848 -0.4572 -0.4319 -0.4088 -0.3888 -0.3727 -0.3630 -0.3640
 -0.3733
 -4.5690 -3.9671 -3.4455 -3.0120 -2.6616 -2.3812 -2.1561 -1.9736 -1.8240 -1.6991
 -1.5933 -1.5032 -1.4239 -1.3457 -1.2646 -1.0583 -0.8820 -0.7522 -0.6613 -0.5989
 -0.5534 -0.5255 -0.5003 -0.4776 -0.4563 -0.4362 -0.4180 -0.4008 -0.3880 -0.3834
 -0.3894
 -4.5572 -3.9759 -3.4570 -3.0201 -2.6615 -2.3729 -2.1414 -1.9537 -1.7997 -1.6715
 -1.5624 -1.4673 -1.3828 -1.3070 -1.2360 -1.0548 -0.8846 -0.7526 -0.6597 -0.5969
 -0.5559 -0.5293 -0.5098 -0.4930 -0.4772 -0.4616 -0.4467 -0.4327 -0.4205 -0.4118
 -0.4093
 -4.5122 -3.9666 -3.4740 -3.0441 -2.6849 -2.3915 -2.1541 -1.9605 -1.8011 -1.6675
 -1.5538 -1.4549 -1.3667 -1.2864 -1.2128 -1.0450 -0.8871 -0.7554 -0.6591 -0.5939
 -0.5524 -0.5277 -0.5128 -0.5022 -0.4927 -0.4829 -0.4730 -0.4629 -0.4532 -0.4450
 -0.4371
 -4.4403 -3.9407 -3.4829 -3.0690 -2.7163 -2.4219 -2.1799 -1.9811 -1.8160 -1.6769
 -1.5577 -1.4541 -1.3621 -1.2791 -1.2026 -1.0337 -0.8853 -0.7576 -0.6592 -0.5906
 -0.5470 -0.5220 -0.5096 -0.5039 -0.5007 -0.4976 -0.4939 -0.4892 -0.4838 -0.4784
 -0.4740
 -4.3467 -3.9011 -3.4840 -3.0973 -2.7556 -2.4628 -2.2169 -2.0118 -1.8400 -1.6947
 -1.5698 -1.4611 -1.3650 -1.2787 -1.2054 -1.0209 -0.8792 -0.7592 -0.6600
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  V   
 -7.1062 -6.7963 -6.5063 -6.2256 -6.0190 -5.6823 -5.0779 -4.1962 -3.4782 -2.7553
 -2.3361 -2.0441 -1.8284 -1.6559 -1.5106 -1.2221
 -6.6534 -6.2896 -5.9618 -5.6583 -5.3846 -5.0363 -4.5001 -3.7655 -3.0899 -2.5673
 -2.1908 -1.9195 -1.7159 -1.5531 -1.4157 -1.1441 -0.9403 -0.7779 -0.6468
 -6.3194 -5.9047 -5.5345 -5.1993 -4.8790 -4.5282 -4.0584 -3.4487 -2.8889 -2.4364
 -2.0932 -1.8371 -1.6415 -1.4848 -1.3526 -1.0920 -0.8999 -0.7531 -0.6374 -0.5460
 -0.4741
 -6.1042 -5.6416 -5.2244 -4.8486 -4.5023 -4.1579 -3.7528 -3.2458 -2.7659 -2.3626
 -2.0433 -1.7969 -1.6052 -1.4510 -1.3213 -1.0658 -0.8799 -0.7413 -0.6345 -0.5507
 -0.4845 -0.4307 -0.3872
 -5.9159 -5.4402 -4.9962 -4.5875 -4.2129 -3.8634 -3.5102 -3.0910 -2.6756 -2.3133
 -2.0158 -1.7787 -1.5903 -1.4377 -1.3093 -1.0560 -0.8719 -0.7371 -0.6358 -0.5573
 -0.4959 -0.4462 -0.4049 -0.3696 -0.3415
 -5.5251 -5.1138 -4.7305 -4.3559 -3.9859 -3.6324 -3.2981 -2.9529 -2.5960 -2.2715
 -1.9957 -1.7695 -1.5857 -1.4351 -1.3079 -1.0559 -0.8713 -0.7375 -0.6392 -0.5647
 -0.5071 -0.4612 -0.4227 -0.3899 -0.3614 -0.3389
 -5.1845 -4.7079 -4.3080 -3.9663 -3.6612 -3.3743 -3.0890 -2.8009 -2.5062 -2.2242
 -1.9738 -1.7611 -1.5839 -1.4367 -1.3115 -1.0612 -0.8753 -0.7405 -0.6433 -0.5715
 -0.5173 -0.4751 -0.4403 -0.4102 -0.3838 -0.3613 -0.3435 -0.3323 -0.3302 -0.3337
 -5.0620 -4.5186 -4.0530 -3.6621 -3.3331 -3.0478 -2.7924 -2.5594 -2.3378 -2.1272
 -1.9275 -1.7433 -1.5793 -1.4381 -1.3159 -1.0691 -0.8818 -0.7448 -0.6471 -0.5768
 -0.5254 -0.4869 -0.4563 -0.4300 -0.4065 -0.3855 -0.3676 -0.3540 -0.3466 -0.3488
 -0.3575
 -5.0782 -4.4876 -3.9687 -3.5273 -3.1583 -2.8507 -2.5891 -2.3603 -2.1544 -1.9698
 -1.8112 -1.6751 -1.5503 -1.4307 -1.3178 -1.0776 -0.8900 -0.7500 -0.6503 -0.5801
 -0.5305 -0.4954 -0.4692 -0.4475 -0.4281 -0.4102 -0.3943 -0.3808 -0.3717 -0.3670
 -0.3721
 -5.1467 -4.5346 -3.9817 -3.4999 -3.0934 -2.7571 -2.4795 -2.2467 -2.0472 -1.8730
 -1.7207 -1.5904 -1.4813 -1.3872 -1.2981 -1.0824 -0.8967 -0.7545 -0.6519 -0.5806
 -0.5320 -0.4993 -0.4772 -0.4607 -0.4465 -0.4330 -0.4205 -0.4090 -0.3995 -0.3932
 -0.3928
 -5.2114 -4.6096 -4.0453 -3.5410 -3.1066 -2.7433 -2.4449 -2.2003 -1.9971 -1.8257
 -1.6786 -1.5513 -1.4412 -1.3461 -1.2633 -1.0793 -0.9050 -0.7614 -0.6552 -0.5810
 -0.5315 -0.4998 -0.4807 -0.4690 -0.4603 -0.4524 -0.4446 -0.4368 -0.4297 -0.4241
 -0.4212
 -5.2325 -4.6539 -4.1099 -3.6037 -3.1567 -2.7751 -2.4585 -2.1991 -1.9864 -1.8103
 -1.6619 -1.5350 -1.4249 -1.3283 -1.2426 -1.0648 -0.9078 -0.7683 -0.6592 -0.5813
 -0.5293 -0.4971 -0.4794 -0.4712 -0.4677 -0.4657 -0.4637 -0.4611 -0.4581 -0.4553
 -0.4534
 -5.2120 -4.6757 -4.1549 -3.6677 -3.2221 -2.8336 -2.5048 -2.2315 -2.0069 -1.8217
 -1.6670 -1.5359 -1.4230 -1.3242 -1.2360 -1.0389 -0.9051 -0.7752 -0.6639
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  V   
 -7.2648 -6.9673 -6.6899 -6.4283 -6.2692 -5.9599 -5.3338 -4.3881 -3.5848 -2.7986
 -2.3462 -2.0357 -1.8101 -1.6340 -1.4875 -1.2002
 -6.8128 -6.4658 -6.1572 -5.8787 -5.6421 -5.3203 -4.7735 -3.9785 -3.2191 -2.6308
 -2.2156 -1.9234 -1.7091 -1.5415 -1.4021 -1.1299 -0.9274 -0.7689 -0.6402
 -6.4808 -6.0850 -5.7371 -5.4291 -5.1396 -4.8135 -4.3391 -3.6752 -3.0381 -2.5199
 -2.1337 -1.8532 -1.6448 -1.4817 -1.3465 -1.0834 -0.8912 -0.7455 -0.6306 -0.5388
 -0.4658
 -6.2688 -5.8249 -5.4296 -5.0795 -4.7616 -4.4395 -4.0306 -3.4782 -2.9321 -2.4659
 -2.1005 -1.8251 -1.6172 -1.4546 -1.3207 -1.0607 -0.8729 -0.7339 -0.6270 -0.5425
 -0.4755 -0.4216 -0.3784
 -6.1045 -5.6353 -5.2047 -4.8151 -4.4625 -4.1311 -3.7786 -3.3235 -2.8527 -2.4335
 -2.0892 -1.8194 -1.6108 -1.4469 -1.3126 -1.0534 -0.8662 -0.7298 -0.6276 -0.5481
 -0.4857 -0.4355 -0.3931 -0.3583 -0.3317
 -5.7832 -5.3759 -4.9809 -4.5976 -4.2292 -3.8827 -3.5501 -3.1802 -2.7779 -2.4037
 -2.0835 -1.8228 -1.6154 -1.4501 -1.3149 -1.0554 -0.8667 -0.7303 -0.6304 -0.5545
 -0.4956 -0.4490 -0.4105 -0.3780 -0.3507 -0.3290
 -5.3655 -4.9253 -4.5599 -4.2426 -3.9461 -3.6477 -3.3387 -3.0261 -2.6917 -2.3652
 -2.0732 -1.8262 -1.6233 -1.4584 -1.3227 -1.0624 -0.8717 -0.7336 -0.6342 -0.5606
 -0.5047 -0.4615 -0.4264 -0.3967 -0.3710 -0.3489 -0.3322 -0.3230 -0.3217 -0.3259
 -5.1855 -4.6674 -4.2282 -3.8649 -3.5576 -3.2850 -3.0327 -2.7877 -2.5369 -2.2832
 -2.0398 -1.8190 -1.6282 -1.4673 -1.3322 -1.0720 -0.8797 -0.7387 -0.6380 -0.5655
 -0.5120 -0.4720 -0.4408 -0.4148 -0.3920 -0.3721 -0.3556 -0.3429 -0.3371 -0.3402
 -0.3493
 -5.1732 -4.5998 -4.0983 -3.6735 -3.3200 -3.0229 -2.7643 -2.5298 -2.3096 -2.1048
 -1.9240 -1.7615 -1.6098 -1.4682 -1.3400 -1.0826 -0.8894 -0.7451 -0.6417 -0.5689
 -0.5170 -0.4797 -0.4524 -0.4308 -0.4121 -0.3952 -0.3805 -0.3683 -0.3595 -0.3574
 -0.3646
 -5.2426 -4.6363 -4.0909 -3.6175 -3.2177 -2.8858 -2.6086 -2.3712 -2.1611 -1.9710
